url,doc_id,title,audience,category,language,academic_year,document_version,license_or_permission
https://usth.edu.vn/thong-bao-quy-dinh-muc-hoc-phi-chinh-thuc-ap-dung-cho-nam-hoc-2026-2027-33107/,muc-hoc-phi-2026-2027,Mức học phí USTH năm học 2026-2027,student,tuition-rates,vi,2026-2027,not-stated,public-source
https://usth.edu.vn/tb-ve-viec-thu-hoc-phi-hoc-ky-ii-nam-hoc-2025-2026-chuong-trinh-dao-tao-trinh-do-dai-hoc-29249/,thu-hoc-phi-hk2-2025-2026,Thu học phí USTH học kỳ II năm học 2025-2026,student,tuition-payment,vi,2025-2026,not-stated,public-source
